X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
7,5,mar,fri,0.870967741935484,26.2,-1.8304767629860488,-0.8609455677111861,-1.842640146758736,0.4117243473229724,1.4986144168823812,0.0,0.0
7,4,oct,tue,0.927741935483871,35.4,0.48889091543801605,-0.5096882687663312,-0.1532782649268027,-0.6924562798204221,-1.741755636812102,0.0,0.0
7,4,oct,sat,0.927741935483871,43.7,0.5607154538443283,-0.5096882687663312,-0.7393834076031878,-0.6924562798204221,-1.518281840005586,0.0,0.0
8,6,mar,fri,0.9419354838709679,33.3,-1.8982662149650402,-0.004755901533102472,-1.8254017602094303,3.2335192833560917,-0.009833711561602487,0.2,0.0
8,6,mar,sun,0.9109677419354838,51.3,-1.7985995802102137,0.126965585571218,-1.2910117771809617,3.356206019705358,-1.238939593997441,0.0,0.0
8,6,aug,sun,0.9496774193548387,85.3,-0.24186323654980266,1.2465982259579427,0.5707339701440257,-0.9378297525189543,0.772324577261204,0.0,0.0
8,6,aug,mon,0.9496774193548387,88.9,-0.21119657970216357,-0.1145238074533696,0.8982633145808294,-1.0605164888682204,-0.5126497543762636,0.0,0.0
8,6,aug,mon,0.9393548387096775,145.4,0.24315415201417212,0.3684549785958056,-1.8771169198573467,2.5587422334351286,-1.0154657971909247,0.0,0.0
8,6,sep,tue,0.9329032258064516,129.5,0.5837154464800577,-0.44382752521417096,-0.9979592058427693,1.1478447654185688,0.772324577261204,0.0,0.0
7,5,sep,sat,0.9522580645161292,88.0,0.6079259650439832,-0.42187394403011763,0.6741642894398586,-0.26305270259799096,-0.009833711561602487,0.0,0.0
7,5,sep,sat,0.9522580645161292,88.0,0.6079259650439832,-0.42187394403011763,-0.18775503802541343,0.4117243473229724,1.7779566628905261,0.0,0.0
7,5,sep,sat,0.9561290322580644,73.2,0.6660312095974044,2.9809311394981637,0.07082076021416817,-0.385739438947257,-0.009833711561602487,0.0,0.0
6,5,aug,fri,0.5780645161290323,70.8,0.4735575870141963,-1.8049495586254831,-0.3256621304198571,1.699935078990266,1.4986144168823812,0.0,0.0
6,5,sep,mon,0.9316129032258067,126.5,0.5591014192734,-0.44382752521417096,0.415588491200277,-0.14036596624872488,-1.0154657971909247,0.0,0.0
6,5,sep,wed,0.9574193548387098,133.3,0.6119610514713041,0.039151260835004226,1.2947462052148542,-1.4285766979160186,0.2695085344465426,0.0,0.0
6,5,sep,fri,0.9625806451612904,141.2,0.6696627873819931,1.0709695764855154,0.6914026759891637,-0.017679229899458825,0.772324577261204,0.0,0.0
5,5,mar,sat,0.9419354838709679,35.8,-1.8849504297548811,-0.2681988757417436,-0.6531914748566605,-1.0605164888682204,0.772324577261204,0.0,0.0
8,5,oct,mon,0.8541935483870968,32.8,0.46911899194414364,-1.321970772576308,-0.37737729006777354,0.16635087462444026,0.49298233125305885,0.0,0.0
6,4,mar,wed,0.9096774193548389,27.9,-1.9253012940280905,-0.597502593502545,-0.5152843824622169,-0.569769543471156,-0.009833711561602487,0.0,0.0
6,4,apr,sat,0.8722580645161291,27.4,-1.8191785209895501,-0.8609455677111861,-1.6530178947163758,-0.017679229899458825,0.2695085344465426,0.0,0.0
6,4,sep,tue,0.9329032258064516,129.5,0.5837154464800577,-0.44382752521417096,-0.10156310527888623,-0.26305270259799096,-0.7361235511827796,0.0,0.0
5,4,sep,mon,0.943225806451613,78.5,0.7116276862261306,0.039151260835004226,0.03634398711555741,-0.385739438947257,-0.7361235511827796,0.0,0.0
7,4,jun,sun,0.975483870967742,96.3,-1.4039681276182276,10.33538083615606,0.36387333155236057,-0.017679229899458825,0.2695085344465426,0.0,0.0
7,4,aug,sat,0.9225806451612903,110.9,-0.04252996704014929,-0.6194561746865983,0.10529753331277893,-0.07902259807409186,0.9957983740677198,0.0,0.0
